SMF,length,rail,備考
ota_n_03.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_04.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_05.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_06.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_07.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_08.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_09.smf,0,SCENE3DOBJ(Set3DObj),
ota_n_10.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_00.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_01.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_02.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_03.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_04.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_05.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_06.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_07.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_08.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_09.smf,0,SCENE3DOBJ(Set3DObj),
ota_d_10.smf,0,SCENE3DOBJ(Set3DObj),
WheelFire00.smf,0,CHARSEL3D(Set3DObj),車輪の花火
arc00.SMF,0,CHARSEL3D(Set3DObj),架線とパンタ間のアーク
light_ball.smf,0,CHARSEL3D(Set3DObj),
char_sel_2000.SMF,0,CHARSEL3D(Set3DObj),
char_sel_21000.SMF,0,CHARSEL3D(Set3DObj),
char_sel_223.SMF,0,CHARSEL3D(Set3DObj),
char_sel_2300.SMF,0,CHARSEL3D(Set3DObj),
char_sel_7001.SMF,0,CHARSEL3D(Set3DObj),
char_sel_80.SMF,0,CHARSEL3D(Set3DObj),
char_sel_800.SMF,0,CHARSEL3D(Set3DObj),
char_sel_8200.SMF,0,CHARSEL3D(Set3DObj),
char_sel_86.SMF,0,CHARSEL3D(Set3DObj),
char_sel_DEKI.SMF,0,CHARSEL3D(Set3DObj),
TRACK_DRIFT.SMF,0,ドリフト,
TRACK_OUT.SMF,0,脱線,
H2000_0_HAMAOTSU.SMF,0,阪急2000系のモデル0番目の浜大津幕,
H2000_0_UMEDA.SMF,0,阪急2000系のモデル0番目の梅田幕,
H2000_1_HAMAOTSU.SMF,0,阪急2000系のモデル1番目の浜大津幕,
H2000_1_UMEDA.SMF,0,阪急2000系のモデル1番目の梅田幕,
H2300_0_HAMAOTSU.SMF,0,阪急2300系のモデル0番目の浜大津幕,
H2300_0_KAWARA.SMF,0,阪急2300系のモデル0番目の河原町幕,
H2300_0_UMEDA.SMF,0,阪急2300系のモデル0番目の梅田幕,
H2300_2_HAMAOTSU.SMF,0,阪急2300系のモデル2番目の浜大津幕,
H2300_2_KAWARA.SMF,0,阪急2300系のモデル2番目の河原町幕,
H2300_2_UMEDA.SMF,0,阪急2300系のモデル2番目の梅田幕,
H7000_0_UMEDA.SMF,0,阪急2300系のモデル0番目の梅田幕,
H7000_1_UMEDA.SMF,0,阪急2300系のモデル1番目の梅田幕,
H7000_2_UMEDA.SMF,0,阪急2300系のモデル2番目の梅田幕,
H8200_0_UMEDA.SMF,0,阪急8200系のモデル0番目の梅田幕,
H8200_1_UMEDA.SMF,0,阪急8200系のモデル1番目の梅田幕,
H8200_2_UMEDA.SMF,0,阪急8200系のモデル2番目の梅田幕,
K800_0_HAMAOTSU.SMF,0,京阪800系のモデル0番目の浜大津幕,
K800_0_UMEDA.SMF,0,京阪800系のモデル0番目の梅田幕,
K800_1_HAMAOTSU.SMF,0,京阪800系のモデル1番目の浜大津幕,
K800_2_HAMAOTSU.SMF,0,京阪800系のモデル2番目の浜大津幕,
SANJOU00.SMF,0,体験版,体験版のみ存在。k_sanjou_st.smfの未完成と思われる
1RAIL_25.SMF,8,未収録(rail),RSの狭軌と幅が同じ？
1RAIL_50.SMF,8,未収録(rail),RSの狭軌と幅が同じ？
1RAIL_50_KYO.SMF,8,未収録(rail),
2RAILROMEN00.SMF,8,未収録(rail),100の軌道<br>RSの狭軌と幅が同じ？
2RAILROMEN01.SMF,8,未収録(rail),50の軌道<br>RSの狭軌と幅が同じ？
2RAILROMEN02.SMF,8,未収録(rail),100の軌道<br>RSの狭軌と幅が同じ？
2RAILROMEN03.SMF,8,未収録(rail),50の軌道<br>RSの狭軌と幅が同じ？
86_PANTA.SMF,0,未収録(Set3DObj),
AMB_MDL_AMI00.SMF,8,未収録(Set3DObj),
BILL00.SMF,0,未収録(Set3DObj),
BILL01.SMF,0,未収録(Set3DObj),
BILL02.SMF,0,未収録(Set3DObj),
BIWA_00_L.SMF,0,未収録(Set3DObj),
BIWA_00_R.SMF,0,未収録(Set3DObj),
BIWA_01_L.SMF,0,未収録(Set3DObj),
BIWA_01_R.SMF,0,未収録(Set3DObj),
CAUTION00.SMF,0,未収録(Set3DObj),
CLOCK_L.SMF,0,未収録(Set3DObj),
CLOCK_R.SMF,0,未収録(Set3DObj),
DEND_LINE00.SMF,0,未収録(Set3DObj),JR.tgaのファイルなし
DEND_LINE01.SMF,0,未収録(Set3DObj),JR.tgaのファイルなし
END_ST_LEFT.SMF,0,未収録(Set3DObj),
END_ST_LEFT_W.SMF,0,未収録(Set3DObj),
END_ST_RIGHT.SMF,0,未収録(Set3DObj),
END_ST_RIGHT_W.SMF,0,未収録(Set3DObj),
GOMI.SMF,0,未収録(Set3DObj),
HAMAOTU.SMF,0,未収録(Set3DObj),
HANKYU_JIKOKUHYOU.SMF,0,未収録(Set3DObj),
HANKYU_KOUKOKU_00.SMF,0,未収録(Set3DObj),
HODOUKYOU.SMF,0,未収録(Set3DObj),
HUMIKIRI_L00.SMF,0,未収録(Set3DObj),
HUMIKIRI_L01.SMF,0,未収録(Set3DObj),
HUMIKIRI_R00.SMF,0,未収録(Set3DObj),
HUMIKIRI_R01.SMF,0,未収録(Set3DObj),
HUMI_ANI01_L.SMF,0,未収録(Set3DObj),
HUMI_ANI01_R.SMF,0,未収録(Set3DObj),
HUMI_ANI_R.SMF,0,未収録(Set3DObj),
KEISIN_L00.SMF,0,未収録(Set3DObj),
KEISIN_R00.SMF,0,未収録(Set3DObj),
KOMIKE_01.SMF,5,未収録(rail),右に曲がる複線レール
KONKURI_L00.SMF,0,未収録(Set3DObj),
KONKURI_L01.SMF,0,未収録(Set3DObj),
KONKURI_L02.SMF,0,未収録(Set3DObj),
KONKURI_L03.SMF,0,未収録(Set3DObj),
KONKURI_L04.SMF,0,未収録(Set3DObj),
KONKURI_L05.SMF,0,未収録(Set3DObj),
KONKURI_L06.SMF,0,未収録(Set3DObj),
KONKURI_R00.SMF,0,未収録(Set3DObj),
KONKURI_R01.SMF,0,未収録(Set3DObj),
KONKURI_R02.SMF,0,未収録(Set3DObj),
KONKURI_R03.SMF,0,未収録(Set3DObj),
KONKURI_R04.SMF,0,未収録(Set3DObj),
KONKURI_R05.SMF,0,未収録(Set3DObj),
KONKURI_R06.SMF,0,未収録(Set3DObj),
KOUKA_CAR.SMF,0,未収録(Set3DObj),
KOUKA_CAR01.SMF,0,未収録(Set3DObj),
KOUKA_CAR02.SMF,0,未収録(Set3DObj),
KOUKA_LIGHT.SMF,0,未収録(Set3DObj),
KUJO_ST.SMF,8,未収録(rail),k_kujoyama_st.smfとほとんど同じ
K_3RAIL50.SMF,8,未収録(rail),走れるレールなし
K_BILL.SMF,0,未収録(Set3DObj),
K_BILL03.SMF,0,未収録(Set3DObj),
K_LINE00.SMF,1,未収録(Set3DObj),
K_LINE01.SMF,1,未収録(Set3DObj),
K_LINE02.SMF,0,未収録(Set3DObj),
K_LINE03.SMF,0,未収録(Set3DObj),
K_R_MOUNT.SMF,8,未収録(Set3DObj),
K_ST00_L.SMF,0,未収録(Set3DObj),
K_ST00_R.SMF,0,未収録(Set3DObj),
K_ST01_L.SMF,1,未収録(Set3DObj),
K_ST01_R.SMF,0,未収録(Set3DObj),
LIGHT.SMF,0,未収録(Set3DObj),
LINE01.SMF,1,未収録(rail),100の架線
MERON_CAR2010_EL.SMF,0,未収録(Set3DObj),
OUSA00_L.SMF,0,未収録(Set3DObj),
OUSA00_R.SMF,0,未収録(Set3DObj),
OUSA01_L.SMF,0,未収録(Set3DObj),
OUSA01_R.SMF,0,未収録(Set3DObj),
OUSA02_L.SMF,0,未収録(Set3DObj),
OUSA02_R.SMF,0,未収録(Set3DObj),
PRIMITIVE.SMF,0,未収録(Set3DObj),
RAIL_C.SMF,0,未収録(Set3DObj),
RAIL_COL100.SMF,0,未収録(Set3DObj),
RAIL_COL12_5.SMF,0,未収録(Set3DObj),
RAIL_ROMEN.SMF,0,未収録(Set3DObj),
ROMEN_CAR_L00.SMF,0,未収録(Set3DObj),
ROMEN_CAR_R00.SMF,0,未収録(Set3DObj),
ROMEN_KASEN00.SMF,0,未収録(rail),100の架線
ROMEN_KASEN01.SMF,0,未収録(rail),50の架線
ROMEN_KASENCHU00.SMF,0,未収録(Set3DObj),
ROMEN_LEFT00.SMF,0,未収録(Set3DObj),
ROMEN_LEFT01.SMF,0,未収録(Set3DObj),
ROMEN_LEFT02.SMF,0,未収録(Set3DObj),
ROMEN_LEFT03.SMF,0,未収録(Set3DObj),
ROMEN_LEFT04.SMF,0,未収録(Set3DObj),
ROMEN_RIGHT00.SMF,0,未収録(Set3DObj),
ROMEN_RIGHT01.SMF,0,未収録(Set3DObj),
ROMEN_RIGHT02.SMF,0,未収録(Set3DObj),
ROMEN_RIGHT03.SMF,0,未収録(Set3DObj),
ROMEN_RIGHT04.SMF,0,未収録(Set3DObj),
ROMEN_ST00_L.SMF,0,未収録(Set3DObj),
ROMEN_ST00_R.SMF,0,未収録(Set3DObj),
ROMEN_ST_BLOCK.SMF,0,未収録(Set3DObj),
S300_01.SMF,0,未収録(Set3DObj),
S300_ALL.SMF,0,未収録(Set3DObj),
S300_ALL_PANTA.SMF,0,未収録(Set3DObj),
S300_BOJ_00.SMF,0,未収録(Set3DObj),
S300_BOJ_01.SMF,0,未収録(Set3DObj),
S300_BOJ_02.SMF,0,未収録(Set3DObj),
S300_BOJ_03.SMF,0,未収録(Set3DObj),
S300_BOJ_04.SMF,0,未収録(Set3DObj),
S300_BOJ_05.SMF,0,未収録(Set3DObj),
S300_BOJ_06.SMF,0,未収録(Set3DObj),
SIGNAL_ROMEN_ARROW_R.SMF,0,未収録(Set3DObj),
SIGNAL_ROMEN_BLUE.SMF,0,未収録(Set3DObj),
SIGNAL_ROMEN_GO.SMF,0,未収録(Set3DObj),
SIGNAL_ROMEN_RED.SMF,0,未収録(Set3DObj),
SIRAKAWA_L.SMF,0,未収録(Set3DObj),
SIRAKAWA_R.SMF,0,未収録(Set3DObj),
SNOW.SMF,0,未収録(Set3DObj),
SPARK.SMF,0,未収録(Set3DObj),
ST_LEFT00.SMF,0,未収録(Set3DObj),light00.bmpのファイルなし
ST_LEFT01.SMF,0,未収録(Set3DObj),light00.bmpのファイルなし
ST_RIGHT00.SMF,0,未収録(Set3DObj),light00.bmpのファイルなし
ST_RIGHT01.SMF,0,未収録(Set3DObj),light00.bmpのファイルなし
TREE00.SMF,0,未収録(Set3DObj),
TREE01.SMF,0,未収録(Set3DObj),
TREE02.SMF,0,未収録(Set3DObj),
TREE04.SMF,0,未収録(Set3DObj),
